reviewer_name,rating,date,review_text,wisata,visit_time
Wulan Djofi8,4,9 bulan lalu,"Ini ke3 xnya aq ke sini. Paling seneng klo ke sini ke lampion garden 'n naik sepeda udara soalnya permainan yang lain cukup ekstrim, jadi aq ga berani. Cocok tuk anak"" juga karna banyak wahana anak"". Kemaren aq ke sini hari Sabtu, jadi beli tiket yang 65 K (dah termasuk 4 wahana gratis termasuk lampion garden, klo sepeda udara bayar 15 K per orang). Klo pengen main semua wahana, mending beli tiket terusan, harga 125 K. Buka jam 15 sampe 23. Sekarang di sini udaranya udah ga sedingin dulu. Didalem lampion garden ada Mushola kecil. Sebelah kanan pintu masuk lampion garden toilet. Klo mo cari makan, didalem banyak yang jual. Kemaren aq nyobain sebelah kanan pintu masuk lampion garden, namanya fiesta foodcourt. Pempek campur = 20 K, tapi kurang enak. Ayam katsu juga biasa aja. Milkshake enak, tapi cup kecil = 16 K. Milo = 12 K. Air mineral = 10 K. Sebelum pintu kluar ada cafe 'n penjual oleh"". Aq beli kaos 100 K 3, boleh pilih warna 'n ukuran (bisa dewasa mix anak). Sayang kaosnya model kecil, jadi klo beli sebaiknya 1 ukuran lebih besar dari ukuran qta biasanya ato klo ga beli yang satuan aja (ukuran anak/S = 35, M = 45, L = 55). Setelah bayi 7 bulan = 35 K (ukuran nomer 1). Bahan adem. Klo beli di sini ga bisa ditawar. Gantungan kunci 10 K 3. Diluar juga banyak yang jual oleh"" makanan. Harga air mineral diluar lebih murah (5 K).",Batu Night Spectacular,Akhir pekan
Herditya Wicaksana,5,6 bulan lalu,"Wahana bermain dan makan dengan berbagai pertunjukkan. Banyak sekali wahananya, dihias dengan lampu warna warni yang bagus. Ada foodcourtnya dengan pertunjukkan tari dan air mancur, jangan lupa dan stunt show yg seru dan lucu. Sayang sekali, saat berkunjung kemarin hujan cukup deras.",Batu Night Spectacular,Hari libur nasional
Sherly T,5,7 bulan lalu,"Taman lampion & tempat arcade spt Dufan di Jakarta, tp areanya lbh kecil. Seru jg malam2 main di sana jadi gak kepanasan di outdoor, buka jam - .",Batu Night Spectacular,Hari biasa
Erlia Yudha,5,1 minggu lalu,"Lama tidak kesini, makin banyak permainan. Lebih baik tiket terusan. 😁👍🏽👍🏽👍🏽👍🏽",Batu Night Spectacular,Akhir pekan
IRMA WIDY,4,7 bulan lalu,"Pertama masuk beli tiket ya, mbak mbak pelayan tiketnya ga ramah sama sekali. Mana sambil ngobrol lagi sama temannya, melayani pembeli sekenanya. Habis itu mulai masuk, jelajah ini itu lalu agak kecewa karena yang terkenal kan lampion garden jadi saya dan keluarga bermaksud berlama-lama di lampion garden. Tapi ternyata lampion garden banyak spot yang rusak gaes. Bolong, sobek, warna pudar, kotor dan lain lain. Sayang sekali karena kalo dilihat dari luar cantik banget. Selain itu lumayan menarik sih kaya kids zona. Akhirnya yang menjadi favorit disini cuma kids zona soalnya lengkap banget, banyak edukasi nya pula. Lampion garden nya ga duluu",Batu Night Spectacular,Hari biasa
shinta dwi aprilia,5,1 bulan lalu,"first time kesini sm doi, bener"" se seru itu. beli tiket yg terusan, bisa cobain semua wahana. next bakal kesini lagiii",Batu Night Spectacular,Tidak diketahui
maisya puspita,4,6 bulan lalu,"Baru pertama kali main ke BNS,, kita gak beli tiket terusan jadi kita beli tiket reguler meskipun reguler tetep seru kok, masih bisa masuk rumah hantu, main permainan yang free belum main sepuasnya eh hujan 😭.. Maaf cm bisa kasih info itu, semoga bermanfaat.. Tetap hati2, selamat liburan ☺",Batu Night Spectacular,Akhir pekan
Priscilla Thalytatita,5,1 bulan lalu,"Tempatnya bagus, bersih, pelayanan oke, ada banyak wahana yang dapat dimainkan mulai dari anak-anak hingga orang dewasa. Harga tiket relatif murah, akses mudah parkir luas.",Batu Night Spectacular,Hari biasa
zez de vries,5,5 bulan lalu,"Batu Night Spectacular (BNS) adalah salah satu destinasi wisata malam yang menarik di Kota Batu, Jawa Timur. Tempat ini menyuguhkan berbagai wahana seru dan atraksi menarik yang cocok untuk dikunjungi oleh keluarga maupun teman. Dengan jam operasional mulai pukul 15.00 hingga 24.00 WIB, pengunjung bisa menikmati suasana malam yang berbeda. Atraksi yang tak kalah menarik adalah pertunjukan Dancing Fountain Water, yang digelar pada pukul 20.30 dan 22.30 WIB. Air mancur yang menari diiringi dengan musik dan lampu warna-warni memberikan pengalaman visual yang memukau. Dengan semua wahana, atraksi, dan fasilitas yang ditawarkan, Batu Night Spectacular menjadi destinasi wisata malam yang patut untuk dikunjungi bagi mereka yang sedang berada di Kota Batu.",Batu Night Spectacular,Hari biasa
Usriya Ni'ma,4,6 bulan lalu,"Tempat wisata buat kalian yg bingung kalo malem pengen kemana! Wahananya seru seru, tiketnya ada yg reguler sama terusan. Kalo kalian pengen coba semua wahana, mending beli tiket terusan, kalo cuma beberapa aja ya reguler bisaa. Kebetulan kesana pas high season kemaren, jadinya ruame banget, tapi gapapa tetap memuaskan.💃",Batu Night Spectacular,Hari biasa
moh.rahmad fachri,4,3 bulan lalu,"bawa liburan anak anak di BNS saat libur idul fitri 2025, sayang pas kesini banyak wahana tidak bisa dinikmati karena kondisi hujan, untuk bebarapa wahana butuh perbaikan sehingga safety nya tetap terjaga",Batu Night Spectacular,Hari libur nasional
Inha Prawiti,5,7 bulan lalu,"Sayangnya kemarin ngga nyobain gokart, next harus ke sini lagi meski dengan orang dan suasana yang berbeda nanti :)",Batu Night Spectacular,Akhir pekan
Zainal Arifin,5,6 bulan lalu,"Tempat wisata dekat dengan Guest House yg saya tempati, bisa diakses berjalan kaki Harga tiket masuk cukup terjangkau sesuai dengan kebutuhan",Batu Night Spectacular,Hari biasa
Nur Azmi Wakhidah,4,2 bulan lalu,"ternyata ga sebanyak itu wahana nya, mungkin yang keliatan mewah karena banyak nya lampu² yg nyala (karena malam otomatis semua lampu nyala) pas kemarin kesana posisi agak sepi (bukan yg rame banget) kemungkinan karena emang ekonomi yg ga baik² saja juga ngefek, tapi setidaknya rasa penasaran sudah terobati yaa😇",Batu Night Spectacular,Akhir pekan
Ervina,5,3 bulan lalu,"Tempat nya bagus, banyak permainan, foodcourt pun juga tertata bagus. Pas makan, sedang ada air mancur menari",Batu Night Spectacular,Hari libur nasional
Khoirun Nisa',4,7 bulan lalu,"Lumayan murah sih dengan harga tiket terusan yang segitu kita bisa naik banyak wahana. Dan lumayan ga membingungkan peta wahananya. Cukup puas sih, tapi sayang kalau datang pas musim hujan ya otomatis ga bisa menikmati wahana yang seru”. Dan banyak ga dokumentasi, soalnya ya menikmati holiday smentaraa. Soo jangan lupa kesini.",Batu Night Spectacular,Hari biasa
Zona Railfans,5,4 bulan lalu,"Mainan nya banyak, seru dan memacu adrenalin. Harga 115rb untuk semua wahana, atau 45rb tp nanti berbayar di setiap wahana",Batu Night Spectacular,Hari biasa
Nafa Elvinia,5,7 bulan lalu,"Bagus , banyak wahananya, buka mulai sore sampai jam 10 malam. tempatnya agak luas tapi gak seluas jtp.",Batu Night Spectacular,Akhir pekan
Mochamad Arief,5,10 bulan lalu,"Untuk tiket masuk sekitar 65ribu kalau tidak salah. Saya masuk hari sabtu malam minggu. Ini kali kedua saya ke BNS sejak SD (tahun 2008an) Untuk wahana permainan bagus namun kurang banyak menurut saya. Untuk taman lampion saya merasa menjadi lebih pendek jalurnya/hanya perasaan saya saja. Wahana paling ramai disini adalah sepeda udara dan bumper cars. Antrinya bisa sejam karena sangat panjang. Untuk saya pribadi harga gokart cukup mahal, namun saya enjoy. Pertunjukkan stuntman yang ada didekat pintu keluar sangat bagus, respect buat aktor & aktrisnya.",Batu Night Spectacular,Akhir pekan
Tritya Mudita,3,8 bulan lalu,"Kesini setelah 15th tll (terakhir waktu SMA th 2008/2009). - entrance fee 65k di weekend, 125k utk terusan - hiasan di lampion2 banyak yg rusak / bolong2😞 - wahananya bbrp masih sama dng 15th yll -pusat oleh2 nya di jalan keluar cukup sepi",Batu Night Spectacular,Akhir pekan
Davin Adelio Official,5,1 bulan lalu,Lumayan seruu cuma mainan wahana buat anak2 kurang banyak 😁 ada wahana baru stunt show kereen🤙,Batu Night Spectacular,Hari biasa
Sofyan Adi,4,10 bulan lalu,"tempat wisata malam hari di batu, cocok banget dipakai ngedate atau bareng keluarga, banyak wahana yang bisa dicoba. kalau laper tinggal ke food court, ada beberapa titik food court. beli tiket terusan lebih worth, karena tiap wahana harga tiketnya kisaran 15-20k. di ujung rute ada toko oleh-oleh dan ada food court lagi, juga ada band yang perform. sayangnya ada juga wahana yang udah butuh perbaikan dan perawatan, meski sekedar pengecatan ulang.",Batu Night Spectacular,Akhir pekan
Nilatul Asna,5,3 bulan lalu,ada berbagai wahana seru. sekali datang belum tentu bisa menyelesaikan semua wahana karena sudah capek duluan 😅 aku datang di hari biasa jadi agak sepi. kalau mau naik wahana pun harus nunggu barengan. lebih baik datang di weekend,Batu Night Spectacular,Hari biasa
eNeMI Guide,4,1 tahun lalu,"Salah satu tempat beragam wahana yang paling cocok untuk di kunjungi ketika malam hari. Tiket masuk kalau musim liburan 65.000, worth it dengan hiburan yang ada disini. Paling recommend sepeda angin sembari menikmati dinginnya malam di kota Batu. Banyak juga kuliner yang dijajakan didepan area BNS, Dari segi rasa juga lumayan. Terima kasih BNS 😁✨",Batu Night Spectacular,Akhir pekan
Dimas Difel,5,10 bulan lalu,"Fasilitas yang disediakan cukup lengkap, termasuk area parkir, mushola, toilet, dan berbagai pilihan tempat makan. Batu Night Spectacular cocok dikunjungi bagi mereka yang mencari hiburan malam yang menyenangkan di Batu, dengan suasana yang ramah keluarga dan banyak pilihan aktivitas.",Batu Night Spectacular,Hari biasa
Keize Vian,5,2 bulan lalu,"Sayang g da suaranya. Bagus, ke food court yang arah pintu keluar ada di ater dancing ternyata.. Ada live band. Padahal hari kamis",Batu Night Spectacular,Hari biasa
Hello Susie,5,4 bulan lalu,"tempat yang seru untuk menghabiskan malam bersama keluarga banyak wahana seru, jajanan, & souvenir",Batu Night Spectacular,Hari biasa
Fickar Ardana,5,1 minggu lalu,"Tempat wisata dengan keluarga. Apabila berencana tidak banyak memasuki wahana, bisa membeli tiket yang biasa, bukan yang terusan. Nanti di dalam bisa bayar di tempat minimal 15 ribu rupiah. Sebaiknya datang sore hari ketika buka agar lebih maksimal. Di dalam ada food court besar dengan banyak pilihan makanan. Parkiran pun luas.",Batu Night Spectacular,Hari biasa
Milla Fathul,3,6 bulan lalu,di sosmed buka pukul 3 sore . saya kesana jam 3 lbh tp karyawan msh belum ready semua . msih ada yg catokan dll . apalagi wahana msih banyak yg ttup katanya masih ngecas dll . saya kesana jam 3 karena biar gak kena hujan . tp dsna wahana bnyk yg blm ready . jam 5 ujan smpekkk malem. wahana banyak yg tutup . rugi donkkk . sia sia donk dtg awal tiket terusan ga dpt semua...pegawai cwenya kurang ramah kurang senyum semua . haduhh,Batu Night Spectacular,Hari biasa
Hendri Wijaya,5,10 bulan lalu,"Batu Night Spectacular menawarkan pengalaman wisata malam yang seru dan lengkap di Kota Batu. Dengan menggabungkan konsep pusat perbelanjaan, permainan, olahraga, dan hiburan, BNS menjadi destinasi favorit bagi keluarga. Wahana-wahana yang menantang dan menarik, siap menguji adrenalin pengunjung. Selain itu, berbagai pertunjukan menarik, kuliner lezat, dan suasana yang meriah membuat malam semakin berkesan. Meski begitu, perlu diingat bahwa antrean pada saat peak season bisa cukup panjang. Namun, secara keseluruhan, BNS tetap menjadi pilihan yang tepat untuk menghabiskan waktu bersama keluarga dan teman",Batu Night Spectacular,Akhir pekan
EJA,5,3 bulan lalu,Udah banyak wahana baru dan seru 🤩 Gokart juga udah ada yang pake listrik,Batu Night Spectacular,Hari libur nasional
Agatha Korina,5,7 bulan lalu,"Bombom car🔥🔥🔥. Kursi yang melayang layang dan muter muter seru banget Tiket weekend 75rb per orang, ada wahana free ada yang berbayar. Theater, taman lampion, musium 3d nya free, bombom car 15rb. Toilet nya bau",Batu Night Spectacular,Akhir pekan
Aziz Farkhani,5,7 bulan lalu,"Udah 2x kesini, pertama 2016, kedua 2024. Selama 8 tahun gak banyak perubahan tp overall lebih rapi dan tertata. Wahana banyak yang under construction. Kebetulan kesana hari Selasa jadi lumayan sepi. Harga? Standar tiket tempat wisata. Enak beli yang terusan sih.",Batu Night Spectacular,Hari biasa
fariz budiman,5,1 tahun lalu,"Buat anak2 ada mandi bola, trampolin dll. Buat manula ada taman lampion 😂 Klo ke Batu, sebisa mungkin mampir ke sini ya. Waktu itu kami pas lagi enak cuacanya, dingin, sekitar 22 'c 😁",Batu Night Spectacular,Hari biasa
Panic Phei,4,1 minggu lalu,"Walau sudah beli tiket mahal tuk ngakses byk wahana,tetapi msh byk jg wahana yg harus dibayar lg…tempatny sprt gak terurus sampe ada sarang laba2 di lampionny…tp overall anak2 msh bs have fun di sna…tmpat parkir sangat luas n weekday tuh antrianny gak lama",Batu Night Spectacular,Hari biasa
powpow miau,3,1 tahun lalu,Kesini pas weekend libur sekolah rame poll htm 125rb tp jujur rugi sih kalo gak punya jiwa pemberani karna wahana bnyk yg menantang adrenalin. Sangat tidak kids friendly sih jd kalo bawa anak kecil mending beli reguler aja nnti kalo mau masuk wahana anak tinggal bayar kurlep 15rb jd ga boncos.,Batu Night Spectacular,Akhir pekan
Agus Puji Yuliyanto,5,1 minggu lalu,Liburan menyenangkan bersama keluarga dengan tiket masuk seharga 65rb.,Batu Night Spectacular,Akhir pekan
Eka Ardi Lazarus (EkaLazarus),4,7 bulan lalu,Masih Lumayan menyenangkan. Meskipun alat alat nya sudah mulai termakan oleh waktu. Beberapa terlihat usang dan mulai rusak. Perlu pembenahan secara serius agar bisa tetap ada pengunjung,Batu Night Spectacular,Hari biasa
Devani Moelyono,4,10 bulan lalu,"BNS salah 1 wisata di Batu. Kemarin datang pas hari kerja, masuk hanya 45ribu per orang tanpa mengantri. Ini bukan tiket terusan yaaa, kalau tiket terusan nya 115ribu sudah ssemua permainan dan ada sih yang gak incl.",Batu Night Spectacular,Hari biasa
Ainie,5,3 bulan lalu,"Seru sih untuk vibenya, cuma mainannya kalau Ndak terusan hanya 3 wahana yang gratis Banyak yang berbayar",Batu Night Spectacular,Hari biasa
Dini Kartika,5,1 minggu lalu,seru sekali main disini. bisa untuk segala usia.,Batu Night Spectacular,Hari biasa
Arike Ardya Pramesti,4,7 bulan lalu,Salah satu tempat rekreasi di Batu yg ga rugi utk dicoba. Banyak wahana2 yg memacu adrenaline. Cocok utk teenagers yg mau liburan. Htm masih affordable dg wahana yg ditawarkan. Minusnya toilet banyak yg kurang terawat sehungga kurang nyaman utk wanita,Batu Night Spectacular,Akhir pekan
Thoriq Fadhilah Mahfuzh,5,1 bulan lalu,"rekomen bgt buat yg mau nyoba wahana adrenalin, family friendly bgt… buat ngedate juga asik wkwk",Batu Night Spectacular,Hari biasa
Paula Anindia,4,6 bulan lalu,"Menurut saya tempat paling bagus adalah wahana rumah lampion, cakep2 tp sayang kurang dimaintain, banyak lampion yg udah robek dan lampunya mati, arena wahananya cukup banyak, paling seru naik sepeda langit tp siap2 antri ya krn banyak peminatnya",Batu Night Spectacular,Akhir pekan
Lia Yuni Winarsih,5,10 bulan lalu,"Tempat nya cozy, kesini pas weekend dan terlihat sepi banget, tempat wisata untuk orang dewasa c, soalnya permainan banyak untuk orang dewasa, masih banyak yang d renovasi, pas banget kunjungannya malam langsung dapet jadwal nonton stuntmen show di BNS nya…Tempat keluar sama parkirannya agak jauh sayangnya..",Batu Night Spectacular,Akhir pekan
Oktavia N,5,1 tahun lalu,"Buat yg mau menikmati suasana bisa naik sepeda udara. Toiletnya banyak, ada mushola juga. Banyak foodcourt. Awal dateng cukup sepi, ramenya justru jam 8 ke atas. Makin malem makin rame.",Batu Night Spectacular,Hari biasa
Muhammad Baharudin,4,4 bulan lalu,"Beberapa kali kesini pasti selalu ramai padat lancar , tempat bagus area luas minusnya 1 parkir bus susah kalau udah parkiran utama full",Batu Night Spectacular,Hari biasa
putri bulanya,5,1 tahun lalu,"salah satu wisata dimalang yang bisa dikunjungi malam hari, tiket masuk Rp 115.000/org untuk wahana yang diberikan cukup variatif, tiket hanya berlaku 1x permainan & beberapa wahana ada yang berbayar juga.",Batu Night Spectacular,Hari biasa
Nashyfa Nayla,5,1 tahun lalu,"Batu Night Spektakuler✨ Sesuai namanya tempat ini sangat meriah dengan banyaknya lampu yang menghiasi malam kota malang 🪅🎉🎊 Menyajikan banyaknya wahana seru serta extreme bagi kita semua yang mencoba🎡 Pertunjukan pedang⚔️, rumah hantu💀, rumah penyihir 🔮, museum lukisan🖼, taman lampion💡 Wah! Gak nyesel datang kesini🙌🏻🙌🏻🙌🏻 Area yang sangat sangat luas untuk dijelajahi✨ Wajib sekali untuk datang kesini, dan akan jadi memorial seru untuk diingat selalu💓 Terima kasih BNS Malang, sukses selalu🙌🏻",Batu Night Spectacular,Hari biasa
Haris Tiana,4,11 bulan lalu,Berbagai wahana permainan ada disini tapi untuk permainan anak2 terbatas. Banyak penjual makanan dan souvenir dengan harga yg masih terjangkau. Parkiran luas.,Batu Night Spectacular,Akhir pekan
Vansz,5,6 bulan lalu,"Tempat wisata yang bagus, seperti pasar malam tapi lebih bagus, harga tiket juga terjangkau, wahananya juga banyak, banyak wahana yang menantang, seru pokoknya.",Batu Night Spectacular,Hari biasa
Irma Maulida,4,10 bulan lalu,"Areanya tidak terlalu luas, Datang di hari kerja, jadi tidak ramai Bisa menikmati berbagai spot tanpa mengantri Ada stunt man live show, seru juga Live musicnya juga oke dengan kelap kelip lampu yang cantik, jadi betah berlama lama Walau wahana yang ada tidak terlalu banyak dan beraneka ragam, tapi hawa dingin batu bikin nyaman disini",Batu Night Spectacular,Hari biasa
Chandra Bagus,4,11 bulan lalu,"Wahana bermain yang beraneka ragam. Bisa beli tiket terusan untuk hampir semua wahana, atau salah satu atau beberapa wahana saja. Karena tipikal orang yang takut wahana ekstrim jadi tidak bisa nyoba banyak wahana. Disamping itu pengunjung bisa cari oleh2 disini. Parkir luas, ada musola, kamar mandi",Batu Night Spectacular,Hari biasa
ratna bywati,5,1 tahun lalu,"Sangat menyenangkan.. Saran: sebaiknya datang sore setelah jam buka nya. Agar puas menikmati semua wahana dan masih bs mendapat parkir di dalam. Jika ternyata parkir dalam penuh, masih bisa parkir diluar atau di dkt BNS, sebelum msk lokasi sekitar 500m menyediakan parkir luas, jalan nya spt masuk ke sebuah lokasi lain. Kemudian beli tiket terusan lebih menguntungkan dan menghemat waktu. Tanyakan juga jenis permainan nya spt apa jika tidak jelas sebelum masuk wahana tersebut. Sebagai tambahan, enak nya datang berkelompok dalam jumlah genap 4/6. Karena bbrp wahana tertentu hanya bisa duduk/masuk dalam jumlah tertentu. Wahana yang wajib dimasuki, mnrt saya: Wahana maze horor Wahana cinema 4D Wahana rumah hantu (kereta) Wahana lampu lampion cocok buat istirahat. Wahana bom bom car. Dari segi kebersihan, di toilet, di saat kondisi ramai bs lebih diperhatikan.",Batu Night Spectacular,Akhir pekan
fandi Ahmad,5,1 minggu lalu,"Tempat bagus, banyak wahana tiket murah, parkir mobil luas, g rugi utk datang kesini apalagi pas datang d temani kabut tipis jadi semakin syahdu 😄👍",Batu Night Spectacular,Hari biasa
Sarah Devina,5,1 tahun lalu,"HTM Weekend reguler 60K Terusan 120K Saran untuk lansia beli tiket reguler saja, karena banyak permainan yang menantang adrenalin. Harga 120k untuk terusan bisa di bilang worthit ✅ Datang malam hari, suasana dingin di tambah kabut. Pengalaman yang sangat menyenangkan 💃🏻💃🏻",Batu Night Spectacular,Akhir pekan
Bram Y. Setiadi,5,1 tahun lalu,"Tempat wisata malam hari yang menyediakan berbagai wahana yang asyik. Cocok untuk destinasi wisata grup besar, khususnya anak sekolah. Setiap wahananya masih beroperasi dengan baik. Ada beberapa kios kaos yang menjual dengan harga yang normal, serta resto yang cukup luas di bagian dalam. Salah satu keuntungannya adalah jam tutup yang sangat malam sehingga cocok kalau mau sambung ke Bromo setelahnya.",Batu Night Spectacular,Hari biasa
Henny,5,1 minggu lalu,Kl hari biasa puas banget main semua wahana 🥰,Batu Night Spectacular,Hari biasa
andik tripatmoko,5,3 bulan lalu,Wahana yang bagus...cocok untuk tempat berlibur dan menyegarkan pikiran yang mungkin udah lama sibuk dengan berbagai macam kegiatan di rumah,Batu Night Spectacular,Hari libur nasional
Achmad Noufaldi Hilmi Atha,5,3 bulan lalu,cocok untuk yg mau liburan bersama keluarga atau temen',Batu Night Spectacular,Akhir pekan
Gian Puji Eka Maryanti,5,1 tahun lalu,Kesini bareng keluarga 🤗 Tapi kalo bawa anak kecil kasian GK bisa banyak naik wahana.,Batu Night Spectacular,Akhir pekan
vanez putri,5,1 minggu lalu,"Tempat liburan seru buat melepas penat bisa buat anak"" & dewasa",Batu Night Spectacular,Hari libur nasional
Ricky wicaksono,5,1 tahun lalu,"tempat wisata terbaik d kota batu, buka sore hingga tengah malam. tiket terjangkau dengan wahana yang beragam ada beberapa stan makanan minuman jadi kita tidak khawatir akan kebutuhan makanan dan minuman",Batu Night Spectacular,Hari libur nasional
cici,4,1 tahun lalu,"Kemarin waktu main di BNS weekend beli tiket terusan 300k untuk berdua. sebenernya nyesel beli terusan karna ga coba semua wahana terus banya wahana yg harus tambah lagi, kyk naik gokart buat 2 orang 90k 3x puteran, mahal bgttt kemarin juga dapet gokartnya yang gampang macet terus akhrinya diganti gokart lain. jadinya 2 laps ga bisa nikmatin karna gokartnya macet” an dan bagian setirnya berat bgt.",Batu Night Spectacular,Akhir pekan
Rena Kurniawati,5,1 minggu lalu,staff nya juga ramah semuaa juga wahana nya seruuuu puas banget pkok nya,Batu Night Spectacular,Hari biasa
Nur Aisyah Ari Yusuf,4,5 bulan lalu,Wajib beli tiket terusan biar nyoba semua wahananya!,Batu Night Spectacular,Hari biasa
Wulansari Handayani,5,1 tahun lalu,"""Tiket 65..baguss bgt.. Semakin mlm semakin rameee.. Kalau kesini pk celana ajaa..karena kalau. Pake rok ribet..nnti sepooii sepoii...Permainan luar biasaaaa menantangg.. Kalau saya sih gak beraniuii.... Uhh dinginn Meriah.. Bnyk permainan.. Tiket 15rb...bnyk jual jajannnn...... Adaa toilet freeee bersih jugaaaa Musolaa adaaaa Parkir aman luasss... Karyawann superrrr ramahh..... 😍😍🥰🥰😍😍🥰🥰🥰",Batu Night Spectacular,Hari libur nasional
sekar azzahro,5,6 bulan lalu,"tempatnya seru, banyak wahana dan paling penting ada mushola dan toilet",Batu Night Spectacular,Akhir pekan
Bang GG,4,1 tahun lalu,"Buat yang lama ga pernah ke tempat hiburan, menurutku masih ok banget kok kesini Harga tiket masuk terusan 120an Yg biasa cmn bisa masuk 4 wahana 60rb Menurutku lebih mending beli yang tiket terusan Harga makanan di dalam pun tergolong normal murah untuk ukuran tempat hiburan Ada foodcourt dan band2 jg di dekat tempat exit buat yg mau makan drpd cari diluar",Batu Night Spectacular,Hari biasa
Nurhamid Kajoran,5,4 bulan lalu,Asik banget menghabiskan malam bersama anak anak... Bikin happy,Batu Night Spectacular,Hari biasa
Nina Febri,4,2 bulan lalu,"Cukup okay lah, ada wahana VR nya. Tapi tiketnya lumayan pricey",Batu Night Spectacular,Akhir pekan
Aries Mufaida,5,1 tahun lalu,"Cocok sih buat refreshing malam"", cukup tenang suasananya HTM ramah di kantong 35 ribu kalau mau jalan"" doang 110 ribu kalau mau tiket terusan Kalo aq yg 35 ribu sih, krn niatnya mau ngumpul sama nongkrong aja",Batu Night Spectacular,Akhir pekan
Yevv Moon,5,1 tahun lalu,"Wahana ,di kota batu yg cukup membuat nadi berdenyut.ada aktrasi drama juga tersedia di dekat foodcourt Ada untuk anak"" di bawah 10 th wahannya",Batu Night Spectacular,Akhir pekan
orind takachibana,4,6 bulan lalu,Salah satu tempat wisata dengan tema lampu lampu yg menarik seperti pasar malam versi lebih eksklusif lah. Banyak wahana permainan. Ada rumah hantu dan foodcourt masih dalam satu kawasan BNS.,Batu Night Spectacular,Hari libur nasional
Sailing Life,4,1 bulan lalu,Ga sebanyak itu wahananya. Kesini cuman karena penasaran sama Lampion Garden,Batu Night Spectacular,Hari biasa
Rosetya Nugroho,4,1 tahun lalu,"Beli tiket terusan, masuk jam 4an masih belum terlalu ramai dan parkir longgar. Keluar jam 20.30 dah padat, parkir di jalan2. Wahana sebenarnya ga banyak tapi karena malam hari, jadi pilihan org yg liburan malam habis seharian keliling Batu dsk",Batu Night Spectacular,Akhir pekan
tataa,4,8 bulan lalu,"wahana lumayan,ada yng seru ada yng bikin pusingg,klo main jgn makan banyak""dlu sihhh",Batu Night Spectacular,Hari libur nasional
Citra Iskak,5,1 tahun lalu,"Untuk tiket masuk 110rb udah include semua wahana. Tiket 45k sudah termasuk ke Maze of Horor dan Taman Lampion. Kalau tiket masuk aja 35rb, nanti per wahana bayar tiket lagi sekitar 15rb. Disclaimer, harga bisa berubah ya, update terus cari infonya. Untuk rekomendasi wahana, bisa naik yang kereta di atas soalnya bisa menikmati pemandangan city light Kota Batu yang cakep banget. Nanti sepanjang jalan keluar ada banyak kios oleh-oleh juga, di bagian luar juga banyak kios oleh-oleh. Jadi worth it banget berkunjung ke sini soalnya all in one!",Batu Night Spectacular,Hari biasa
Baharuddin Akbar,5,4 bulan lalu,"Tempat wisata malam di kota Batu yg cukup ramai, terdapat banyak wahana yg menguji adrenalin 😄",Batu Night Spectacular,Akhir pekan
Yovita Natasia,4,1 tahun lalu,"Sedih lihat BNS, udah ga seramai dulu.. banyak retail yang tutup juga.. 😢 perawatan sangat kurang.. padahal dulu BNS tujuan wisata favorit dan sempat bikin macet panjanggg.. wahana nya lebih banyak wahana ekstrim, g cocok untuk anak dibawah 8tahun..",Batu Night Spectacular,Hari libur nasional
Ipung -,5,1 bulan lalu,"Boleh dibilang disini lebih baik dari Jatim Park 1 kenapa? Karena cukup beragam wahana permainan yang ekstrim, dan lokasi antar wahana begitu dekat sehingga tidak terlalu capek saat mengelilingi tempat wisata ini.",Batu Night Spectacular,Hari libur nasional
Anes Pratiwi,5,1 tahun lalu,Waktu kita kesini tempatnya sudah mau tutup tapi beruntungnya kita masih bisa masuk dan dikasih free entry untuk keiling aja karna atraksinya sudah end hihi,Batu Night Spectacular,Hari biasa
andy kumis,5,1 tahun lalu,"BNS adalalah salah satu wisata yang masih dalam naungan Jatim Park Group yang terletak di Jl. Hayam Wuruk No.1, desa Oro-Oro Ombo, kota batu.",Batu Night Spectacular,Akhir pekan
Thea Karuni R.,5,1 tahun lalu,"Tidak diragukan lagi tempat yang asyik untuk liburan solo maupun pariwisata bersama rekan kerja dan sekolah, banyak wahana, ada beberapa paket untuk membeli tiket masuknya, untuk mencoba wahana lain yang tidak termasuk didalam Paketnya hanya 10k-20k saja.",Batu Night Spectacular,Hari biasa
Anisa Rahmawati,5,1 tahun lalu,Liburan ke malang jauh2 dari jakarta Ini kyk Dufan versi lite Wajib sih liburan kesini buat yg nyari distenasi liburan GK ngantri juga buat main wahana'nya,Batu Night Spectacular,Akhir pekan
chamim93 1917,5,10 bulan lalu,Sebuah wahana yg sangat cocok dinikmati bila malam hari Modern komplit udara sejuk Refreshing kluarga,Batu Night Spectacular,Akhir pekan
Jimmy Sujady,5,1 tahun lalu,"Kesini saat malam natal 2023 dan masa libur sekolah, ramai sekali pengunjungnya. Konsepnya seperti hiburan rakyat pasar malam tapi dikemas lebih modern. Banyak wahana yang memacu adrenalin.",Batu Night Spectacular,Akhir pekan
Perkasa mandiri,4,4 bulan lalu,"Lumayan spectaculer.. Terutama di wahana gravitron, anak saya menyukainya",Batu Night Spectacular,Akhir pekan
